feature,coefficient,absolute_importance,feature_group
developer_publisher__developer_OVERKILL - a Starbreeze Studio.,2.6641514493338305,2.6641514493338305,Other
"developer_publisher__publisher_Paradise Project,Paradise Project",2.242915931348218,2.242915931348218,Other
developer_publisher__developer_Behaviour Digital Inc.,2.2192911828139814,2.2192911828139814,Other
"developer_publisher__publisher_Hanako Games,Hanako Games",-2.062956502471956,2.062956502471956,Other
"developer_publisher__publisher_Dovetail Games - Trains,Dovetail Games - Trains",-1.9734080771548497,1.9734080771548497,Other
"developer_publisher__publisher_Psyonix, Inc.,Psyonix, Inc.",1.9402138224308867,1.9402138224308867,Other
"developer_publisher__developer_Psyonix, Inc.",1.9402138224308867,1.9402138224308867,Other
developer_publisher__developer_CD PROJEKT RED,1.9218490084204953,1.9218490084204953,Other
"developer_publisher__publisher_Behaviour Digital Inc.,Behaviour Digital Inc.",1.8731764952301897,1.8731764952301897,Other
tags__tag_singleplayer,1.858397746373851,1.858397746373851,Other
"developer_publisher__publisher_Slitherine Ltd.,Slitherine Ltd.",-1.8490148041661627,1.8490148041661627,Other
"developer_publisher__developer_CREATIVE ASSEMBLY,Feral Interactive (Linux),Feral Interactive (Mac)",1.8488644763798179,1.8488644763798179,Other
"developer_publisher__publisher_NVLMaker,NVLMaker",1.818364760340613,1.818364760340613,Other
"developer_publisher__publisher_Devolver Digital,Devolver Digital",1.7482733242874835,1.7482733242874835,Other
"developer_publisher__publisher_505 Games,505 Games",1.722309609697305,1.722309609697305,Other
developer_publisher__developer_Massive Entertainment,1.678144560855639,1.678144560855639,Other
"developer_publisher__publisher_Adult Swim Games,Adult Swim Games",1.524432325454482,1.524432325454482,Other
developer_publisher__developer_Forever Entertainment S. A.,1.5219566180684334,1.5219566180684334,Other
developer_publisher__developer_Colossal Order Ltd.,1.4765079031985928,1.4765079031985928,Other
tags__tag_multiplayer,1.4725151684489377,1.4725151684489377,Other
"developer_publisher__publisher_Bethesda Softworks,Bethesda Softworks",1.4715632681317419,1.4715632681317419,Other
"developer_publisher__publisher_upjers,upjers",-1.4545435986714508,1.4545435986714508,Other
"developer_publisher__publisher_Jetdogs Studios,Jetdogs Studios",1.3916824618703947,1.3916824618703947,Other
"developer_publisher__publisher_Ghostlight LTD,Ghostlight LTD",-1.37201121254439,1.37201121254439,Other
"developer_publisher__publisher_SakuraGame,SakuraGame",1.3496042611038066,1.3496042611038066,Other
"developer_publisher__publisher_Back To Basics Gaming,Back To Basics Gaming",1.342219119351375,1.342219119351375,Other
"developer_publisher__publisher_Warhorse Studios,Deep Silver,Warhorse Studios,Deep Silver",1.3266233957281484,1.3266233957281484,Other
"developer_publisher__publisher_Artifex Mundi,Artifex Mundi",-1.2996100377589586,1.2996100377589586,Other
developer_publisher__developer_upjers,-1.2631234110069696,1.2631234110069696,Other
developer_publisher__developer_Expansive Worlds,1.218744940194078,1.218744940194078,Other
developer_publisher__developer_Artifex Mundi,1.173818592806539,1.173818592806539,Other
"developer_publisher__publisher_Versus Evil,Versus Evil",1.1651660210366075,1.1651660210366075,Other
"developer_publisher__publisher_Headup,Headup",-1.1628911509243938,1.1628911509243938,Other
developer_publisher__developer_Winter Wolves,-1.1541241755290212,1.1541241755290212,Other
"developer_publisher__publisher_Winter Wolves,Winter Wolves",-1.1541241755290212,1.1541241755290212,Other
"developer_publisher__publisher_Ubisoft,Ubisoft",1.1455743291029536,1.1455743291029536,Other
"developer_publisher__publisher_Aldorlea Games,Aldorlea Games",-1.1402109297827612,1.1402109297827612,Other
"developer_publisher__publisher_RunServer,RunServer",-1.140101049318236,1.140101049318236,Other
"developer_publisher__publisher_United Independent Entertainment GmbH,United Independent Entertainment GmbH",-1.1344387075304438,1.1344387075304438,Other
"developer_publisher__publisher_Green Man Gaming Publishing,Green Man Gaming Publishing",-1.1306244046981775,1.1306244046981775,Other
developer_publisher__developer_Warhorse Studios,1.1276362413676317,1.1276362413676317,Other
"developer_publisher__publisher_SEGA,Feral Interactive (Linux),Feral Interactive (Mac),SEGA,Feral Interactive (Linux),Feral Interactive (Mac)",1.1017742089981344,1.1017742089981344,Other
developer_publisher__developer_CyberConnect2 Co. Ltd.,1.090373351841908,1.090373351841908,Other
"developer_publisher__publisher_Valve,Valve",1.0846798003337972,1.0846798003337972,Other
"developer_publisher__publisher_轻文,轻文",1.080973761662541,1.080973761662541,Other
developer_publisher__developer_Larian Studios,1.0764895883863486,1.0764895883863486,Other
"developer_publisher__publisher_Application Systems Heidelberg,Application Systems Heidelberg",-1.0763807581219946,1.0763807581219946,Other
"developer_publisher__publisher_Interplay Inc.,Interplay Inc.",-1.075487411533505,1.075487411533505,Other
"developer_publisher__publisher_11 bit studios,11 bit studios",1.0738980188545668,1.0738980188545668,Other
"developer_publisher__publisher_HeroCraft,HeroCraft",-1.0688510794991883,1.0688510794991883,Other
developer_publisher__developer_Star Gem Inc.,-1.068615769653544,1.068615769653544,Other
"developer_publisher__publisher_Alawar Premium,Alawar Premium",1.0674323773060963,1.0674323773060963,Other
"developer_publisher__publisher_Square Enix,Square Enix",1.059426837745349,1.059426837745349,Other
"developer_publisher__publisher_8Floor,8Floor",-1.0418287299250892,1.0418287299250892,Other
"developer_publisher__publisher_LucasArts,Lucasfilm,Disney Interactive,LucasArts,Lucasfilm,Disney Interactive",1.0310248856164939,1.0310248856164939,Other
developer_publisher__developer_VisualArts/Key,1.030001144504169,1.030001144504169,Other
developer_publisher__developer_Fishing Planet LLC,-1.0291487629143146,1.0291487629143146,Other
"developer_publisher__publisher_Xbox Game Studios,Xbox Game Studios",1.0245134054230325,1.0245134054230325,Other
"developer_publisher__publisher_Humble Bundle,Humble Bundle",1.020565787938185,1.020565787938185,Other
developer_publisher__developer_Aldorlea Games,-1.0178355825357417,1.0178355825357417,Other
"developer_publisher__publisher_DigitalEZ,DigitalEZ",1.0082087253009495,1.0082087253009495,Other
developer_publisher__developer_ASTRO PORT,-1.006498743655325,1.006498743655325,Other
"developer_publisher__publisher_Dovetail Games - Flight,Dovetail Games - Flight",-1.006179159346579,1.006179159346579,Other
developer_publisher__developer_11 bit studios,1.0001885832029498,1.0001885832029498,Other
"developer_publisher__publisher_GrabTheGames,GrabTheGames",-1.0001430728346112,1.0001430728346112,Other
developer_publisher__developer_Double Fine Productions,0.9900277470304275,0.9900277470304275,Other
genres__genre_free_to_play,0.9889549230247203,0.9889549230247203,Other
developer_publisher__developer_Supergiant Games,0.9867392849169154,0.9867392849169154,Other
"developer_publisher__developer_Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",0.9789339994564167,0.9789339994564167,Other
"developer_publisher__publisher_indie_games_studio,indie_games_studio",-0.9694234637795369,0.9694234637795369,Other
developer_publisher__developer_Simulators Live,-0.9616226678859395,0.9616226678859395,Other
"developer_publisher__publisher_Simulators Live,Simulators Live",-0.9616226678859395,0.9616226678859395,Other
developer_publisher__developer_Traveller's Tales,0.9606412349792305,0.9606412349792305,Other
developer_publisher__developer_Scott Cawthon,0.9535896907040156,0.9535896907040156,Other
"developer_publisher__publisher_Scott Cawthon,Scott Cawthon",0.9535896907040156,0.9535896907040156,Other
"developer_publisher__publisher_NukGames,NukGames",0.9441391070239336,0.9441391070239336,Other
developer_publisher__developer_NukGames,0.9441391070239336,0.9441391070239336,Other
developer_publisher__developer_Red Dot Games,-0.9431905540646106,0.9431905540646106,Other
developer_publisher__developer_Laush Dmitriy Sergeevich,-0.9339070756020279,0.9339070756020279,Other
genres__genre_racing,-0.933577808260225,0.933577808260225,Other
developer_publisher__developer_Valve,0.9288656436264089,0.9288656436264089,Other
developer_publisher__release_era_2006-2010,-0.915850452244825,0.915850452244825,Other
developer_publisher__developer_EA Los Angeles,0.9104938410234289,0.9104938410234289,Other
developer_publisher__developer_Treyarch,-0.9061305772911584,0.9061305772911584,Other
genres__genre_utilities,0.8963468111776631,0.8963468111776631,Other
"developer_publisher__publisher_Idea Factory International,Idea Factory International",0.8950540357066709,0.8950540357066709,Other
"developer_publisher__publisher_SEGA,SEGA",0.8935846800294562,0.8935846800294562,Other
developer_publisher__developer_Ripknot Systems,-0.8879220854423127,0.8879220854423127,Other
"developer_publisher__publisher_Ripknot Systems,Ripknot Systems",-0.8879220854423127,0.8879220854423127,Other
"developer_publisher__publisher_Matthew Brown,Matthew Brown",0.8829317123888908,0.8829317123888908,Other
developer_publisher__developer_Matthew Brown,0.8829317123888908,0.8829317123888908,Other
developer_publisher__developer_Soldak Entertainment,-0.882401035753367,0.882401035753367,Other
"developer_publisher__publisher_Soldak Entertainment,Soldak Entertainment",-0.882401035753367,0.882401035753367,Other
developer_publisher__developer_Ubisoft Montreal,0.8818230831975244,0.8818230831975244,Other
"developer_publisher__publisher_Double Fine Productions,Double Fine Productions",0.8812431770162727,0.8812431770162727,Other
developer_publisher__developer_Giants Software,-0.8796883033064152,0.8796883033064152,Other
tags__tag_fps,0.8780365137649591,0.8780365137649591,Other
