release_year,release_era,achievements,achievements_missing,original_price,is_free,developer,publisher,genre_action,genre_adventure,genre_casual,genre_indie,genre_rpg,genre_simulation,genre_strategy,genre_sports,genre_racing,genre_free_to_play,genre_massively_multiplayer,genre_early_access,genre_utilities,tag_action,tag_indie,tag_adventure,tag_rpg,tag_strategy,tag_casual,tag_simulation,tag_sports,tag_racing,tag_multiplayer,tag_fps,tag_shooter,tag_singleplayer,success
2017.0,2017-2019,,1,14.99,0,TriHelix LLC,"TriHelix LLC,TriHelix LLC",1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2010.0,2006-2010,,1,9.99,0,"2K Czech,Feral Interactive (Mac)","2K,Feral Interactive (Mac),2K,Feral Interactive (Mac)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015.0,2014-2016,,1,,0,GAME FREAK,"SEGA,SEGA",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2015.0,2014-2016,16.0,0,,0,Atrax Games,"Mastertronic,Mastertronic",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017.0,2017-2019,,1,24.99,0,NVYVE® Studios,"NVYVE® Studios,NVYVE® Studios",1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
2017.0,2017-2019,13.0,0,3.99,0,Jaydeb,"Jaydeb,Jaydeb",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2016.0,2014-2016,22.0,0,12.99,0,The Moonwalls,"Libredia Entertainment,Libredia Entertainment",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2018.0,2017-2019,2.0,0,14.99,0,Fazan," Fazan, Fazan",1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
2017.0,2017-2019,27.0,0,5.99,0,Wraith Studio,"Wraith Studio,Wraith Studio",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2014.0,2014-2016,,1,29.99,0,Ubisoft,"Ubisoft,Ubisoft",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1
2013.0,2011-2013,,1,0.99,0,"Crystal Dynamics,Eidos-Montréal,Feral Interactive (Mac),Feral Interactive (Linux)","Square Enix,Feral Interactive (Mac),Feral Interactive (Linux),Square Enix,Feral Interactive (Mac),Feral Interactive (Linux)",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
